school,course_code,course_title,prof_name,program,prerequisite
Department of Urban and Environmental Engineering,UIE70401,Concrete Micro-characteriazation,Jae Eun Oh,Doctoral Course,
School of Energy and Chemical Engineering,ACE70901,Catalysis for Energy Conversion: Production of Solar Hydrogen,Jae Sung Lee,Doctoral Course,
Graduate School of Artificial Intelligence,AI70601,Deep Learning for 3D Vision,Kyungdon Joo,Doctoral Course,
Graduate School of Artificial Intelligence,AI70701,Deep Reinforcement Learning,Sungbin Lim,Doctoral Course,
Graduate School of Artificial Intelligence,AI89001,Doctoral Research,Sam H. Noh,Doctoral Course,
Department of Biological Sciences,BIO70101,Molecular Physiology,Chan Young Park,Doctoral Course,
Department of Biological Sciences,BIO70301,Topics in Genome Data Analysis,Dougu Nam,Doctoral Course,
Department of Biological Sciences,BIO70501,Mithchondria Biology,Byoung Heon Kang,Doctoral Course,
Department of Biological Sciences,BIO80101,Special Lecture in Biological Sciences A(The immune responses in inflammatory and infectious diseas,Sung-ho Park,Doctoral Course,
Department of Biological Sciences,BIO80201,Special Lectures in Biological Science B (Organelle Stress and Disease),Eunhee Kim,Doctoral Course,
Department of Biological Sciences,BIO89001,Doctoral Research,Hongtae Kim,Doctoral Course,
Department of Biomedical Engineering,BME76101,Human Vision,Oh-Sang Kwon,Doctoral Course,
Department of Biomedical Engineering,BME76201,Advanced Color Science,Youngshin Kwak,Doctoral Course,
Department of Biomedical Engineering,BME80101,Special Lectures in Biomedical Engineering A(Modelling Cellular Interactions Using Biophysical and S,Semin Lee,Doctoral Course,
Department of Biomedical Engineering,BME80201,S.L in Bioengineering B(Biomimetic System),Tae-Eun Park,Doctoral Course,
Department of Biomedical Engineering,BME89001,Doctoral Research,Woonggyu Jung,Doctoral Course,
Department of Chemistry,CHM89001,Doctoral Research,Ja Hyoung Ryu,Doctoral Course,
Department of Computer Science and Engineering,CSE71001,Natural Language Processing,TAEHWAN KIM,Doctoral Course,
Department of Computer Science and Engineering,CSE89001,Doctoral Research,Woongki Baek,Doctoral Course,
Department of Design,DES70701,Product Understanding Use and Experience,Chajoong Kim,Doctoral Course,
Department of Design,DES89101,Doctoral Research,Chajoong Kim,Doctoral Course,
Department of Design,DES90501,Special Topics in Design 5(Innovative Technology-Design Project),Kyungho Lee,Doctoral Course,
Department of Urban and Environmental Engineering,DME60601,Disaster Theory and Practice,Jibum Chung,Doctoral Course,
School of Energy and Chemical Engineering,ECHE89001,Doctoral Research,Hyun-Kon Song,Doctoral Course,
Department of Electrical Engineering,EE78201,Nanophotonics,Jongwon Lee,Doctoral Course,
Department of Electrical Engineering,EE89001,Doctoral Research,Jee Hoon Jung,Doctoral Course,
Department of Urban and Environmental Engineering,ENV70701,Environmental Biotechnology,Changsoo Lee,Doctoral Course,
Department of Industrial Engineering,IE89001,Doctoral Research,Namhun Kim,Doctoral Course,
Department of Mechanical Engineering,MEN79101,Special Topic I (Introduction to Aerosol Technology),Jaesung Jang,Doctoral Course,
Department of Mechanical Engineering,MEN89001,Doctoral Research,Chun Sang Yoo,Doctoral Course,
School of Business Administration,MGT89001,Doctoral Research,Young Rok Choi,Doctoral Course,
Department of Materials Science and Engineering,MSE89001,Doctoral Research,Kyoung Jin Choi,Doctoral Course,
Department of Mathematical Sciences,MTH89001,Doctoral Research,Chang Hyeong Lee,Doctoral Course,
Department of Nuclear Engineering,NE89001,Doctoral Research,In Cheol Bang,Doctoral Course,
Department of Physics,PHY89001,Doctoral Research,Kibog Park,Doctoral Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE89001,Doctoral Research,Hongsik Jeong,Doctoral Course,
Graduate School of Technology and Innovation Management,TIM71101,Research Methodology for Technology Management,Kee Yeun Lee,Doctoral Course,
Graduate School of Technology and Innovation Management,TIM71701,Advanced Econometrics,Saiah Lee,Doctoral Course,
Graduate School of Technology and Innovation Management,TIM89001,Thesis Research,Young Rok Choi,Doctoral Course,
Department of Urban and Environmental Engineering,UEE89001,Doctoral Research,Myoungsu Shin,Doctoral Course,
Department of Urban and Environmental Engineering,UIE70601,Urban Regeneration,Jeongseob Kim,Doctoral Course,
School of Energy and Chemical Engineering,ACE51001,Renewable Energy Engineering,Ji Wook Jang,Master's Course,
School of Energy and Chemical Engineering,ACE60301,Catalysis,Ja Hun Kwak,Master's Course,
School of Energy and Chemical Engineering,ACE60501,Advanced Electrocatalysis,Youngkook Kwon,Master's Course,
School of Energy and Chemical Engineering,ACE60901,Current Topics of Synthetic Biology,Sung Kuk Lee,Master's Course,
Graduate School of Artificial Intelligence,AI50201,Principles of Deep Learning,Sungbin Lim,Master's Course,
Graduate School of Artificial Intelligence,AI50301,AI Toolkits,Hyemin Ahn,Master's Course,
Graduate School of Artificial Intelligence,AI52001,Machine Learning Fundamentals,Junghye Lee,Master's Course,
Graduate School of Artificial Intelligence,AI53301,Advanced Quality Control,Sungil Kim,Master's Course,
Graduate School of Artificial Intelligence,AI55501,Optimizations for AI Systems,Myeongjae Jeon,Master's Course,
Graduate School of Artificial Intelligence,AI59001,AI Graduate Seminar,Junghye Lee,Master's Course,
Graduate School of Artificial Intelligence,AI69001,Master's Research,Sam H. Noh,Master's Course,
Graduate School of Interdisciplinary Management,BAT51201,Advanced Data Mining with Artificial Intelligence,Youngchan Hwang,Master's Course,
Graduate School of Interdisciplinary Management,BAT51501,Analytics Programming,Youngchan Hwang,Master's Course,
Graduate School of Interdisciplinary Management,BAT51601,Database Management,"Han-Gyun Woo
Han-Gyun Woo",Master's Course,
Graduate School of Interdisciplinary Management,BAT52201,Customer Analytics,Kee Yeun Lee,Master's Course,
Graduate School of Interdisciplinary Management,BAT52401,Introduction to Business Analytics,Jaesun Yeom,Master's Course,
Graduate School of Interdisciplinary Management,BAT54101,Social Data Analytics,Han-Gyun Woo,Master's Course,
Graduate School of Interdisciplinary Management,BAT59101,Business Analytics Practicum,Yeolib Kim,Master's Course,
Graduate School of Interdisciplinary Management,BAT69101,Capstone Project,Young-Choon Kim,Master's Course,
Graduate School of Interdisciplinary Management,BAT89101,Independent Study,Young-Choon Kim,Master's Course,
Department of Biological Sciences,BIO50201,Advanced Molecular Biology,Jayil Lee,Master's Course,
Department of Biological Sciences,BIO50301,Advanced Cell Biology,Jiyoung Park,Master's Course,
Department of Biological Sciences,BIO50901,Protein Engineering,Sebyung Kang,Master's Course,
Department of Biological Sciences,BIO59001,Seminar,Hongtae Kim,Master's Course,
Department of Biological Sciences,BIO60201,Signal Transductions in Cells,Young Chan Chae,Master's Course,
Department of Biological Sciences,BIO61001,Trends in Biological Research,"Orlando D. Scharer
Anton Gartner",Master's Course,
Department of Biological Sciences,BIO61002,Trends in Biological Research,Sung-ho Park,Master's Course,
Department of Biological Sciences,BIO61003,Trends in Biological Research,Young Chan Chae,Master's Course,
Department of Biological Sciences,BIO69001,Master's Research,Hongtae Kim,Master's Course,
Department of Biomedical Engineering,BME51101,Presentation Skills for Biomedical Engineers,Tae-Eun Park,Master's Course,
Department of Biomedical Engineering,BME51401,Advanced Nanobiotechnology,Jongnam Park,Master's Course,
Department of Biomedical Engineering,BME55001,Rehabilitation Engineering,GWANSEOB SHIN,Master's Course,
Department of Biomedical Engineering,BME56101,Psychophysics,Youngshin Kwak,Master's Course,
Department of Biomedical Engineering,BME59001,Seminar,Hyung Joon Cho,Master's Course,
Department of Biomedical Engineering,BME69001,Master's Research,Hyung Joon Cho,Master's Course,
School of Energy and Chemical Engineering,BST51001,Solid State Batteries,Sungkyun Jung,Master's Course,
School of Energy and Chemical Engineering,BST52201,Nanostructuredelectrodesfor lithium-ion Batteries I,Jaephil Cho,Master's Course,
School of Energy and Chemical Engineering,BST53401,"Special Topics on BST I(Batteries of the past, present, and future)",Seung Mo Oh,Master's Course,
School of Energy and Chemical Engineering,BST53501,Special Topics on BST II(Application Technologies of Energy Devices for ESS and EV),Yunseok Choi,Master's Course,
Department of Chemistry,CHM53101,Introduction to Molecular Spectroscopy,YungDoug Suh,Master's Course,
Department of Chemistry,CHM53201,Statistical Mechanics,Geunsik Lee,Master's Course,
Department of Chemistry,CHM53401,Materials for Organic Electronics,Tae-Hyuk Kwon,Master's Course,
Department of Chemistry,CHM53501,Physical Organic Chemistry,Christopher W Bielawski,Master's Course,
Department of Chemistry,CHM54101,Inorganic Materials Analysis,Hyunchul Oh,Master's Course,
Department of Chemistry,CHM55501,Crystallography,Myoung Soo Lah,Master's Course,
Department of Chemistry,CHM56101,Advanced Inorganic Chemistry,Hoi Ri MOON,Master's Course,
Department of Chemistry,CHM59001,Seminar,"Bum Suk Zhao
BongSoo Kim",Master's Course,
Department of Chemistry,CHM64501,Chemical Physics,Oh Hoon Kwon,Master's Course,
Department of Chemistry,CHM64601,Molecular Physics,Bum Suk Zhao,Master's Course,
Department of Chemistry,CHM68301,Advanced Materials Chemistry,Kyoseung Sim,Master's Course,
Department of Chemistry,CHM69001,Master's Research,Jaeheung Cho,Master's Course,
Graduate School of Carbon Neutrality,CN50501,Advanced Materials Analysis,Jungki Ryu,Master's Course,
Graduate School of Carbon Neutrality,CN51001,Advanced Carbon Neutral Technologies,Dong Suk Kim,Master's Course,
Graduate School of Carbon Neutrality,CN51301,Catalysis,Ja Hun Kwak,Master's Course,
Graduate School of Carbon Neutrality,CN52001,Advanced Carbon Neutral Policy,Chang Keun Song,Master's Course,
Graduate School of Carbon Neutrality,CN59001,Seminar,Yongwon Seo,Master's Course,
Graduate School of Carbon Neutrality,CN61201,Air Pollution Management,Yongwon Seo,Master's Course,
Graduate School of Carbon Neutrality,CN65001,Renewable Energy Engineering (Energy Conversion Devices),Ji Wook Jang,Master's Course,
Graduate School of Carbon Neutrality,CN69001,Master's Research,Yongwon Seo,Master's Course,
Department of Computer Science and Engineering,CSE52401,Advanced Software Engineering,Jooyong Yi,Master's Course,
Department of Computer Science and Engineering,CSE52901,Autonomous Robots,Tsz-Chiu Au,Master's Course,
Department of Computer Science and Engineering,CSE53901,Advanced Computer Networks,Youngbin Im,Master's Course,
Department of Computer Science and Engineering,CSE59001,CSE Graduate Seminar,Hyungon Moon,Master's Course,
Department of Computer Science and Engineering,CSE61001,S.T in Computer Engineering I (AI System Optimizations),Myeongjae Jeon,Master's Course,
Department of Computer Science and Engineering,CSE61301,S.T in Computer Engineering Ⅳ(3D Shape Analysis in Neuroimaging),Ilwoo Lyu,Master's Course,
Department of Computer Science and Engineering,CSE69001,Master's Research,Woongki Baek,Master's Course,
Department of Design,DES50601,Computational Interaction Design,Kyungho Lee,Master's Course,
Department of Design,DES51501,Systems thinking for Designers,Seungho Lee,Master's Course,
Department of Design,DES59001,The Seminars,Ian Oakley,Master's Course,
Department of Design,DES69101,Master Graduation Project,Chajoong Kim,Master's Course,
Department of Urban and Environmental Engineering,DME50901,Geotechnical Earthquake Engineering,Byungmin Kim,Master's Course,
Department of Urban and Environmental Engineering,DME51101,Geotechnical Site Investigation,SEONG JUN HA,Master's Course,
Department of Urban and Environmental Engineering,DME60301,Business Impact Analysis and Theory of Risk Management,Jibum Chung,Master's Course,
Department of Urban and Environmental Engineering,DME68201,Special Topics in Disaster Management Engineering III,Min-Cheol Kim,Master's Course,
School of Energy and Chemical Engineering,ECHE59001,Seminar,Kwanyong Seo,Master's Course,
School of Energy and Chemical Engineering,ECHE69001,Master's Research,Hyun-Kon Song,Master's Course,
Department of Electrical Engineering,EE53201,Linear System Theory,Jeong hwan Jeon,Master's Course,
Department of Electrical Engineering,EE53801,Data Communication Networks,Hyoil Kim,Master's Course,
Department of Electrical Engineering,EE55401,Electronic Packaging Design,Jingook Kim,Master's Course,
Department of Electrical Engineering,EE56001,Power Systems,Jee Hoon Jung,Master's Course,
Department of Electrical Engineering,EE57501,Modern RF Engineering,EunMi Choi,Master's Course,
Department of Electrical Engineering,EE57601,Advanced Photonics,Min-Suk Kwon,Master's Course,
Department of Electrical Engineering,EE57701,Microelectronics Lab,Kyung Rok Kim,Master's Course,
Department of Electrical Engineering,EE57901,Advanced Optoelectronics,Il-Sug Chung,Master's Course,
Department of Electrical Engineering,EE59001,EE Graduate Seminar,Il-Sug Chung,Master's Course,
Department of Electrical Engineering,EE63101,"S.T in Communication, Control, and Signal Processing Ⅱ (AI Toolkit)",Hyemin Ahn,Master's Course,
Department of Electrical Engineering,EE63201,"S.T in Communication, Control, and Signal Processing Ⅲ (Pattern Recognition)",Hyeonwoo Yu,Master's Course,
Department of Electrical Engineering,EE69001,Master's Research,Jee Hoon Jung,Master's Course,
Department of Urban and Environmental Engineering,EES60501,Air Pollution Management,Yongwon Seo,Master's Course,
Department of Urban and Environmental Engineering,EES65201,Machine Learning for Remote Sensing Applications,Jungho Im,Master's Course,
Department of Urban and Environmental Engineering,EES68001,Special Topics in Earth and Environmental Sciences I (Numerical Water Quality Model),Kyung Hwa Cho,Master's Course,
School of Energy and Chemical Engineering,ENE51301,Special Topics on Solar Cells,Kwanyong Seo,Master's Course,
School of Energy and Chemical Engineering,ENE52701,Organic Electronics,Jin Young Kim,Master's Course,
School of Energy and Chemical Engineering,ENE53201,Advanced Materials Analysis,Jungki Ryu,Master's Course,
School of Energy and Chemical Engineering,ENE61401,Nanochemistry,Ji-Hyun Jang,Master's Course,
Graduate School of Technology and Innovation Management,ETM50201,Solar Photovoltaic Technology,Byung-Wook Park,Master's Course,
Graduate School of Technology and Innovation Management,ETM50401,Hydrogen and Fuel Cell Technology,Hee Chun Lim,Master's Course,
Graduate School of Technology and Innovation Management,ETM50501,Efficiency in Energy Value Chain,Kyung-soon Park,Master's Course,
Department of Industrial Engineering,IE50301,Pattern Recognition and Machine Learning,Junghye Lee,Master's Course,
Department of Industrial Engineering,IE50901,Advanced Quality Control,Sungil Kim,Master's Course,
Department of Industrial Engineering,IE51101,Introduction to Deep Learning,Sungbin Lim,Master's Course,
Department of Industrial Engineering,IE69001,Master's Research,Namhun Kim,Master's Course,
Department of Mechanical Engineering,MEN50201,Advanced Mechanical Engineering Analysis,Jaesung Jang,Master's Course,
Department of Mechanical Engineering,MEN51101,Advanced Heat Transfer,Jaeseon Lee,Master's Course,
Department of Mechanical Engineering,MEN51301,Convection Heat Transfer,Aejung Yoon,Master's Course,
Department of Mechanical Engineering,MEN54001,Advanced MEMS,Heungjoo Shin,Master's Course,
Department of Mechanical Engineering,MEN55201,Manufacturing Processes and Systems,Young-Bin Park,Master's Course,
Department of Mechanical Engineering,MEN57701,Optimal State Estimation: Kalman Filter,Hyondong Oh,Master's Course,
Department of Mechanical Engineering,MEN59001,The Seminars,Chun Sang Yoo,Master's Course,
Department of Mechanical Engineering,MEN69001,Master's Research,Chun Sang Yoo,Master's Course,
School of Business Administration,MGT59101,Independent Study,Young Rok Choi,Master's Course,
School of Business Administration,MGT69001,Master's Research,Young Rok Choi,Master's Course,
School of Business Administration,MKT50301,Marketing Strategy,Min Chung Kim,Master's Course,
School of Business Administration,MOT50201,Organizational Change & Innovation Mgt.,Young-Choon Kim,Master's Course,
School of Business Administration,MOT50301,Entrepreneurship and Strategy,Young Rok Choi,Master's Course,
Department of Materials Science and Engineering,MSE52001,Inorganic Materials Synthesis,Seungho Cho,Master's Course,
Department of Materials Science and Engineering,MSE53201,Dielectric Ceramics: From fundamentals to applications,Wook Jo,Master's Course,
Department of Materials Science and Engineering,MSE54101,Memory/Neuromorphic Device and Application,Hongsik Jeong,Master's Course,
Department of Materials Science and Engineering,MSE57301,Materials for Biomedical Applications,Chaenyung Cha,Master's Course,
Department of Materials Science and Engineering,MSE59001,The Seminars,Jiyun Kim,Master's Course,
Department of Materials Science and Engineering,MSE68201,S.T. on MSEⅡ(VLSI Processing Technology),Tae-Sik Yoon,Master's Course,
Department of Materials Science and Engineering,MSE68301,S.T. on MSE Ⅲ (Atomic Simulations in MSE),Feng Ding,Master's Course,
Department of Materials Science and Engineering,MSE69001,Master's Research,Kyoung Jin Choi,Master's Course,
Department of Mathematical Sciences,MTH50201,Functional Analysis,Hantaek Bae,Master's Course,
Department of Mathematical Sciences,MTH50901,Partial Differential Equations,Kyudong Choi,Master's Course,
Department of Mathematical Sciences,MTH51301,Dynamical systems,Pilwon Kim,Master's Course,
Department of Mathematical Sciences,MTH55201,AlgebraⅡ,Hae-Sang Sun,Master's Course,
Department of Mathematical Sciences,MTH59001,The Seminars,Chang Hyeong Lee,Master's Course,
Department of Mathematical Sciences,MTH69001,Master's Reserach,Chang Hyeong Lee,Master's Course,
Department of Nuclear Engineering,NE51201,Radiation Measurement System I,Hee Reyoung Kim,Master's Course,
Department of Nuclear Engineering,NE51401,Nuclear Reactor Core Analysis II,Deokjung Lee,Master's Course,
Department of Nuclear Engineering,NE55901,Advanced Statistical and Regression Methods for Uncertainty Analysis,Douglas Fynan,Master's Course,
Department of Nuclear Engineering,NE59001,The Seminars,Eisung Yoon,Master's Course,
Department of Nuclear Engineering,NE60201,Advanced Plasma Physics,Eisung Yoon,Master's Course,
Department of Nuclear Engineering,NE61901,Special Topics in Nuclear Engineering I (Nuclear Safety and Regulatory Policy),In Cheol Bang,Master's Course,
Department of Nuclear Engineering,NE69001,Master's Research,In Cheol Bang,Master's Course,
Department of Physics,PHY50401,Electrodynamics II,KYUJIN KWAK,Master's Course,
Department of Physics,PHY50601,Quantum Mechanics II,Kunook Chung,Master's Course,
Department of Physics,PHY50701,Statistical Mechanics,Francois Amblard,Master's Course,
Department of Physics,PHY59001,Seminar,Changhee Sohn,Master's Course,
Department of Physics,PHY68101,Special Topics in Condensed Matter Physics,Yoon Seok Oh,Master's Course,
Department of Physics,PHY68401,Mathematical Concepts for Physics and Engineering,Francois Amblard,Master's Course,
Department of Physics,PHY68701,"Special Topics in Atomic, Molecular and Optical Physics",Je-Hyung Kim,Master's Course,
Department of Physics,PHY69001,Master's Research,Kibog Park,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE51001,Field Experience based Semiconductor Process,Changwook Jeong,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE52101,VLSI Processing Technology,Tae-Sik Yoon,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE53001,Nano Semiconductor Materials,Jae Sung Son,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE53201,Materials for Magnetic Memory Devices,Ki-Suk Lee,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE53401,Materials for Organic Electronics:Display Materials,Tae-Hyuk Kwon,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE53601,Advanced Optical Materials adn Devices,Young Chul Jun,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE53701,Nanomaterials for QLED,Jongnam Park,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE59001,The Seminars,Jiyun Kim,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE63001,Memory and Neuromophic Device,Hongsik Jeong,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE63201,Nano Semiconductor Devices,Soon-Moon Jung,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE63301,Special Topics on Lithography,Ji-Hyun Jang,Master's Course,
Graduate School of Semiconductor Materials and Devices Engineering,SE69001,Master's Research,Hongsik Jeong,Master's Course,
Department of Urban and Environmental Engineering,UEE69001,Master's Research,Jae Eun Oh,Master's Course,
Department of Urban and Environmental Engineering,UIE50201,Structural Dynamics,Gun Kim,Master's Course,
Department of Urban and Environmental Engineering,UIE50501,Research Methods for Urban Studies,Gihyoug Cho,Master's Course,
Department of Urban and Environmental Engineering,UIE59001,Seminar,Gun Kim,Master's Course,
Department of Urban and Environmental Engineering,UIE60201,Crack Analysis in Concrete,Sukhoon Pyo,Master's Course,
Department of Urban and Environmental Engineering,UIE68001,Special Topics in Urban Infrastructure Engineering I (Real Estate Development and Investment),Jeongseob Kim,Master's Course,
School of Energy and Chemical Engineering,ACE50701,Intro. to Polymer Physics and Rheology,Chunggi Baig,Master's Course,
School of Energy and Chemical Engineering,ACE61201,Advanced Biochemical Engineering,Sunghoon Park,Master's Course,
Graduate School of Artificial Intelligence,AI50101,Introduction to AI,"Jongeun Lee
Sungil Kim
Sungbin Lim
Sung Whan Yoon
Seungryul Baek
Gi-soo Kim
Miran Kim
Kyungdon Joo
Jaejun Yoo
Seulki Lee
TAEHWAN KIM
Seungyul Han
Hyeonwoo Yu",Master's Course,
Graduate School of Artificial Intelligence,AI50201,Principles of Deep Learning,Jaejun Yoo,Master's Course,
Graduate School of Artificial Intelligence,AI50301,AI Toolkits,Seungyul Han,Master's Course,
